state,median.income,unemployed,metro,high.school,non.citizen,white.pov,income.ineq,non.white,trump.vote,outcome
Alabama,42278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,Red
Alaska,67629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,Red
Arizona,49254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,Red
Arkansas,44922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,Red
California,60487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,Blue
Colorado,60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,Blue
Connecticut,70161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,Blue
Delaware,57522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,Blue
Florida,46140,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,Red
Georgia,49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,Red
Hawaii,71223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,Blue
Idaho,53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,Red
Illinois,54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,Blue
Indiana,48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,Red
Iowa,57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,Red
Kansas,53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,Red
Kentucky,42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,Red
Louisiana,42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,Red
Maine,51710,0.044,0.54,0.902,0.01,0.12,0.437,0.09,0.45,Blue
Maryland,76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,Blue
Massachusetts,63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,Blue
Michigan,52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,Red
Minnesota,67244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,Blue
Mississippi,35521,0.061,0.45,0.804,0.01,0.14,0.468,0.44,0.58,Red
Missouri,56630,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,Red
Montana,51102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,Red
Nebraska,56870,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,Red
Nevada,49875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,Blue
New Hampshire,73397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,Blue
New Jersey,65243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,Blue
New Mexico,46686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,Blue
New York,54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,Blue
North Carolina,46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,Red
North Dakota,60730,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,Red
Ohio,49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,Red
Oklahoma,47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,Red
Oregon,58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,Blue
Pennsylvania,55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,Red
Rhode Island,58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,Blue
South Carolina,44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,Red
South Dakota,53053,0.035,0.51,0.899,0.02,0.08,0.442,0.17,0.62,Red
Tennessee,43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,Red
Texas,53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,Red
Utah,63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,Red
Vermont,60708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,Blue
Virginia,66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,Blue
Washington,59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,Blue
West Virginia,39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,Red
Wisconsin,58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,Red
Wyoming,55690,0.04,0.31,0.918,0.02,0.09,0.423,0.15,0.7,Red
